,Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Rank,Date,Platform
3,Mercy,SUPPORT,7.41,48.81,2.50,1.65,Silver,2020-05-24 12:10:05.942616,XBox
4,D.Va,TANK,6.12,46.69,2.27,7.61,Silver,2020-05-24 12:10:05.942616,XBox
5,Zarya,TANK,4.55,47.29,2.23,9.63,Silver,2020-05-24 12:10:05.942616,XBox
6,Junkrat,DEFENSE,4.46,51.07,2.82,12.53,Silver,2020-05-24 12:10:05.942616,XBox
7,Ana,SUPPORT,4.08,45.44,2.06,7.25,Silver,2020-05-24 12:10:05.942616,XBox
8,Orisa,TANK,4.00,51.48,3.09,6.86,Silver,2020-05-24 12:10:05.942616,XBox
9,Sigma,TANK,3.61,49.53,3.00,11.44,Silver,2020-05-24 12:10:05.942616,XBox
10,Soldier: 76,OFFENSE,3.43,47.14,1.99,11.26,Silver,2020-05-24 12:10:05.942616,XBox
11,Roadhog,TANK,3.43,45.82,1.54,8.98,Silver,2020-05-24 12:10:05.942616,XBox
12,Ashe,OFFENSE,3.36,50.40,2.04,8.19,Silver,2020-05-24 12:10:05.942616,XBox
13,Reaper,OFFENSE,2.70,48.21,1.72,15.02,Silver,2020-05-24 12:10:05.942616,XBox
14,McCree,OFFENSE,2.35,47.08,1.69,8.13,Silver,2020-05-24 12:10:05.942616,XBox
15,Echo,OFFENSE,2.28,47.23,2.23,7.28,Silver,2020-05-24 12:10:05.942616,XBox
16,Wrecking Ball,TANK,2.17,45.38,1.83,2.66,Silver,2020-05-24 12:10:05.942616,XBox
17,Brigitte,SUPPORT,2.13,55.31,1.55,8.00,Silver,2020-05-24 12:10:05.942616,XBox
18,Baptiste,SUPPORT,1.81,48.32,2.19,10.24,Silver,2020-05-24 12:10:05.942616,XBox
19,Torbjörn,DEFENSE,1.61,57.16,2.33,9.00,Silver,2020-05-24 12:10:05.942616,XBox
20,Zenyatta,SUPPORT,1.56,51.52,2.40,9.61,Silver,2020-05-24 12:10:05.942616,XBox
21,Winston,TANK,1.52,49.25,2.90,4.94,Silver,2020-05-24 12:10:05.942616,XBox
22,Tracer,OFFENSE,1.50,45.60,1.18,7.47,Silver,2020-05-24 12:10:05.942616,XBox
23,Pharah,OFFENSE,1.44,50.55,2.15,10.21,Silver,2020-05-24 12:10:05.942616,XBox
24,Genji,OFFENSE,1.31,47.17,1.85,7.50,Silver,2020-05-24 12:10:05.942616,XBox
25,Mei,DEFENSE,1.17,49.81,0.76,8.64,Silver,2020-05-24 12:10:05.942616,XBox
26,Hanzo,DEFENSE,1.02,49.00,1.96,10.36,Silver,2020-05-24 12:10:05.942616,XBox
27,Bastion,DEFENSE,0.91,49.75,1.95,15.83,Silver,2020-05-24 12:10:05.942616,XBox
28,Symmetra,SUPPORT,0.86,59.04,3.34,8.34,Silver,2020-05-24 12:10:05.942616,XBox
29,Doomfist,OFFENSE,0.86,48.05,0.77,5.96,Silver,2020-05-24 12:10:05.942616,XBox
30,Widowmaker,DEFENSE,0.67,46.67,1.32,5.53,Silver,2020-05-24 12:10:05.942616,XBox
31,Sombra,OFFENSE,0.61,40.15,1.44,9.89,Silver,2020-05-24 12:10:05.942616,XBox
0,Reinhardt,TANK,10.82,50.65,2.72,6.79,Gold,2020-05-24 12:10:48.660830,XBox
1,Moira,SUPPORT,9.85,48.68,2.53,9.85,Gold,2020-05-24 12:10:48.660830,XBox
2,Mercy,SUPPORT,7.10,49.45,2.76,1.97,Gold,2020-05-24 12:10:48.660830,XBox
3,Lúcio,SUPPORT,6.94,53.10,2.21,12.61,Gold,2020-05-24 12:10:48.660830,XBox
4,Zarya,TANK,5.71,51.08,2.53,11.63,Gold,2020-05-24 12:10:48.660830,XBox
5,Ana,SUPPORT,5.69,46.18,2.24,8.56,Gold,2020-05-24 12:10:48.660830,XBox
6,D.Va,TANK,3.97,49.43,2.29,8.79,Gold,2020-05-24 12:10:48.660830,XBox
7,Junkrat,DEFENSE,3.91,52.33,3.03,12.70,Gold,2020-05-24 12:10:48.660830,XBox
8,Ashe,OFFENSE,3.87,50.72,1.88,9.55,Gold,2020-05-24 12:10:48.660830,XBox
9,Sigma,TANK,3.75,50.56,2.13,12.53,Gold,2020-05-24 12:10:48.660830,XBox
10,Roadhog,TANK,3.40,47.20,1.67,8.99,Gold,2020-05-24 12:10:48.660830,XBox
11,Orisa,TANK,2.88,50.89,2.68,7.74,Gold,2020-05-24 12:10:48.660830,XBox
12,McCree,OFFENSE,2.79,47.10,1.72,8.67,Gold,2020-05-24 12:10:48.660830,XBox
13,Soldier: 76,OFFENSE,2.74,48.23,1.70,11.00,Gold,2020-05-24 12:10:48.660830,XBox
14,Echo,OFFENSE,2.54,48.01,2.05,7.65,Gold,2020-05-24 12:10:48.660830,XBox
15,Reaper,OFFENSE,2.52,49.71,1.81,14.86,Gold,2020-05-24 12:10:48.660830,XBox
16,Wrecking Ball,TANK,2.18,49.22,2.16,2.90,Gold,2020-05-24 12:10:48.660830,XBox
17,Brigitte,SUPPORT,2.12,55.07,1.40,8.39,Gold,2020-05-24 12:10:48.660830,XBox
18,Baptiste,SUPPORT,1.94,45.83,2.75,11.58,Gold,2020-05-24 12:10:48.660830,XBox
19,Genji,OFFENSE,1.91,47.57,2.00,10.39,Gold,2020-05-24 12:10:48.660830,XBox
20,Zenyatta,SUPPORT,1.65,50.02,1.89,9.53,Gold,2020-05-24 12:10:48.660830,XBox
21,Winston,TANK,1.58,49.38,1.58,5.64,Gold,2020-05-24 12:10:48.660830,XBox
22,Torbjörn,DEFENSE,1.47,56.98,2.46,8.96,Gold,2020-05-24 12:10:48.660830,XBox
23,Pharah,OFFENSE,1.41,52.27,2.07,13.08,Gold,2020-05-24 12:10:48.660830,XBox
24,Tracer,OFFENSE,1.40,47.00,1.39,9.59,Gold,2020-05-24 12:10:48.660830,XBox
25,Doomfist,OFFENSE,1.20,49.29,1.74,7.11,Gold,2020-05-24 12:10:48.660830,XBox
26,Symmetra,SUPPORT,0.98,57.31,3.10,9.83,Gold,2020-05-24 12:10:48.660830,XBox
27,Mei,DEFENSE,0.91,48.13,2.13,8.01,Gold,2020-05-24 12:10:48.660830,XBox
28,Hanzo,DEFENSE,0.89,45.88,2.27,10.77,Gold,2020-05-24 12:10:48.660830,XBox
29,Widowmaker,DEFENSE,0.66,46.29,1.26,5.56,Gold,2020-05-24 12:10:48.660830,XBox
30,Bastion,DEFENSE,0.64,53.72,2.80,19.06,Gold,2020-05-24 12:10:48.660830,XBox
31,Sombra,OFFENSE,0.57,44.50,1.21,12.73,Gold,2020-05-24 12:10:48.660830,XBox
0,Reinhardt,TANK,11.74,51.34,2.71,7.55,Platinum,2020-05-24 12:11:31.109595,XBox
1,Moira,SUPPORT,9.97,50.36,2.69,10.49,Platinum,2020-05-24 12:11:31.109595,XBox
2,Ana,SUPPORT,7.16,48.66,2.48,9.31,Platinum,2020-05-24 12:11:31.109595,XBox
3,Mercy,SUPPORT,7.11,50.46,2.73,2.56,Platinum,2020-05-24 12:11:31.109595,XBox
4,Lúcio,SUPPORT,6.63,52.84,2.35,13.42,Platinum,2020-05-24 12:11:31.109595,XBox
5,Zarya,TANK,6.11,51.50,2.70,13.66,Platinum,2020-05-24 12:11:31.109595,XBox
6,Ashe,OFFENSE,4.75,53.99,2.30,10.98,Platinum,2020-05-24 12:11:31.109595,XBox
7,Roadhog,TANK,4.06,49.10,2.18,11.60,Platinum,2020-05-24 12:11:31.109595,XBox
8,McCree,OFFENSE,3.68,47.52,1.49,9.34,Platinum,2020-05-24 12:11:31.109595,XBox
9,Sigma,TANK,3.44,51.18,2.62,14.55,Platinum,2020-05-24 12:11:31.109595,XBox
10,Junkrat,DEFENSE,2.98,53.42,3.30,12.67,Platinum,2020-05-24 12:11:31.109595,XBox
11,Soldier: 76,OFFENSE,2.59,49.22,1.89,11.47,Platinum,2020-05-24 12:11:31.109595,XBox
12,D.Va,TANK,2.48,50.90,1.96,8.83,Platinum,2020-05-24 12:11:31.109595,XBox
13,Echo,OFFENSE,2.43,49.50,2.30,8.08,Platinum,2020-05-24 12:11:31.109595,XBox
14,Wrecking Ball,TANK,2.32,49.26,2.00,3.45,Platinum,2020-05-24 12:11:31.109595,XBox
15,Reaper,OFFENSE,2.28,50.64,1.84,14.81,Platinum,2020-05-24 12:11:31.109595,XBox
16,Baptiste,SUPPORT,1.96,46.99,2.79,12.23,Platinum,2020-05-24 12:11:31.109595,XBox
17,Brigitte,SUPPORT,1.94,55.47,1.41,8.87,Platinum,2020-05-24 12:11:31.109595,XBox
18,Genji,OFFENSE,1.94,47.09,2.32,10.34,Platinum,2020-05-24 12:11:31.109595,XBox
19,Orisa,TANK,1.72,51.41,1.99,8.58,Platinum,2020-05-24 12:11:31.109595,XBox
20,Zenyatta,SUPPORT,1.42,53.54,1.94,9.69,Platinum,2020-05-24 12:11:31.109595,XBox
21,Tracer,OFFENSE,1.41,48.46,1.35,8.52,Platinum,2020-05-24 12:11:31.109595,XBox
22,Torbjörn,DEFENSE,1.40,58.85,2.73,8.76,Platinum,2020-05-24 12:11:31.109595,XBox
23,Doomfist,OFFENSE,1.39,52.32,2.01,7.54,Platinum,2020-05-24 12:11:31.109595,XBox
24,Pharah,OFFENSE,1.29,51.09,2.09,14.95,Platinum,2020-05-24 12:11:31.109595,XBox
25,Winston,TANK,1.17,47.84,1.86,6.36,Platinum,2020-05-24 12:11:31.109595,XBox
26,Hanzo,DEFENSE,1.06,46.20,1.95,10.86,Platinum,2020-05-24 12:11:31.109595,XBox
27,Widowmaker,DEFENSE,0.98,49.95,1.75,7.71,Platinum,2020-05-24 12:11:31.109595,XBox
28,Symmetra,SUPPORT,0.76,58.06,3.26,9.49,Platinum,2020-05-24 12:11:31.109595,XBox
29,Mei,DEFENSE,0.74,49.04,2.09,7.83,Platinum,2020-05-24 12:11:31.109595,XBox
30,Sombra,OFFENSE,0.73,48.87,2.13,14.77,Platinum,2020-05-24 12:11:31.109595,XBox
31,Bastion,DEFENSE,0.37,54.63,1.52,15.04,Platinum,2020-05-24 12:11:31.109595,XBox
0,Reinhardt,TANK,13.48,52.76,2.45,7.31,Diamond,2020-05-24 12:12:13.550737,XBox
1,Moira,SUPPORT,8.63,52.08,2.41,10.61,Diamond,2020-05-24 12:12:13.550737,XBox
2,Zarya,TANK,7.14,54.81,2.80,15.14,Diamond,2020-05-24 12:12:13.550737,XBox
3,Mercy,SUPPORT,7.02,52.42,2.56,2.78,Diamond,2020-05-24 12:12:13.550737,XBox
4,Ana,SUPPORT,7.00,51.45,1.88,9.69,Diamond,2020-05-24 12:12:13.550737,XBox
5,Lúcio,SUPPORT,6.65,53.96,1.95,13.35,Diamond,2020-05-24 12:12:13.550737,XBox
6,Ashe,OFFENSE,5.26,55.23,2.55,12.22,Diamond,2020-05-24 12:12:13.550737,XBox
7,Roadhog,TANK,4.89,51.91,1.84,11.78,Diamond,2020-05-24 12:12:13.550737,XBox
8,McCree,OFFENSE,4.58,49.22,1.50,10.09,Diamond,2020-05-24 12:12:13.550737,XBox
9,Sigma,TANK,3.31,52.25,2.57,14.95,Diamond,2020-05-24 12:12:13.550737,XBox
10,Wrecking Ball,TANK,2.61,53.99,1.52,4.07,Diamond,2020-05-24 12:12:13.550737,XBox
11,Soldier: 76,OFFENSE,2.44,51.66,2.30,10.42,Diamond,2020-05-24 12:12:13.550737,XBox
12,Echo,OFFENSE,2.21,51.55,1.62,8.72,Diamond,2020-05-24 12:12:13.550737,XBox
13,Junkrat,DEFENSE,2.17,56.33,2.77,12.43,Diamond,2020-05-24 12:12:13.550737,XBox
14,Brigitte,SUPPORT,2.04,60.16,2.03,8.14,Diamond,2020-05-24 12:12:13.550737,XBox
15,Genji,OFFENSE,2.00,50.54,2.27,10.38,Diamond,2020-05-24 12:12:13.550737,XBox
16,Reaper,OFFENSE,1.98,54.97,1.37,14.34,Diamond,2020-05-24 12:12:13.550737,XBox
17,Baptiste,SUPPORT,1.70,49.71,2.39,13.40,Diamond,2020-05-24 12:12:13.550737,XBox
18,D.Va,TANK,1.66,50.98,2.03,8.49,Diamond,2020-05-24 12:12:13.550737,XBox
19,Tracer,OFFENSE,1.64,48.53,1.53,9.17,Diamond,2020-05-24 12:12:13.550737,XBox
20,Torbjörn,DEFENSE,1.38,57.76,2.25,7.99,Diamond,2020-05-24 12:12:13.550737,XBox
21,Doomfist,OFFENSE,1.32,52.87,1.68,6.89,Diamond,2020-05-24 12:12:13.550737,XBox
22,Orisa,TANK,1.28,51.23,1.96,8.78,Diamond,2020-05-24 12:12:13.550737,XBox
23,Widowmaker,DEFENSE,1.26,54.01,1.31,8.47,Diamond,2020-05-24 12:12:13.550737,XBox
24,Hanzo,DEFENSE,1.11,48.23,2.08,11.50,Diamond,2020-05-24 12:12:13.550737,XBox
25,Winston,TANK,1.02,49.19,0.94,6.10,Diamond,2020-05-24 12:12:13.550737,XBox
26,Zenyatta,SUPPORT,0.96,56.72,1.60,8.64,Diamond,2020-05-24 12:12:13.550737,XBox
27,Pharah,OFFENSE,0.87,55.39,2.33,16.28,Diamond,2020-05-24 12:12:13.550737,XBox
28,Mei,DEFENSE,0.74,51.33,2.20,7.04,Diamond,2020-05-24 12:12:13.550737,XBox
29,Sombra,OFFENSE,0.71,48.54,2.05,14.03,Diamond,2020-05-24 12:12:13.550737,XBox
30,Symmetra,SUPPORT,0.60,58.46,3.24,9.02,Diamond,2020-05-24 12:12:13.550737,XBox
31,Bastion,DEFENSE,0.34,54.00,1.41,15.58,Diamond,2020-05-24 12:12:13.550737,XBox
0,Reinhardt,TANK,14.30,53.65,2.39,6.55,Master,2020-05-24 12:12:56.189352,XBox
1,Mercy,SUPPORT,8.07,53.68,2.58,2.42,Master,2020-05-24 12:12:56.189352,XBox
2,Moira,SUPPORT,7.81,51.49,2.67,9.58,Master,2020-05-24 12:12:56.189352,XBox
3,Zarya,TANK,7.12,55.50,1.67,14.80,Master,2020-05-24 12:12:56.189352,XBox
4,Ana,SUPPORT,6.79,53.73,2.39,9.06,Master,2020-05-24 12:12:56.189352,XBox
5,Lúcio,SUPPORT,6.12,54.26,2.32,12.29,Master,2020-05-24 12:12:56.189352,XBox
6,Roadhog,TANK,5.21,52.17,1.56,10.85,Master,2020-05-24 12:12:56.189352,XBox
7,Ashe,OFFENSE,5.04,55.29,2.24,11.76,Master,2020-05-24 12:12:56.189352,XBox
8,McCree,OFFENSE,4.89,50.66,1.66,9.26,Master,2020-05-24 12:12:56.189352,XBox
9,Sigma,TANK,3.68,52.70,2.51,14.12,Master,2020-05-24 12:12:56.189352,XBox
10,Wrecking Ball,TANK,2.97,54.98,0.98,3.48,Master,2020-05-24 12:12:56.189352,XBox
11,Brigitte,SUPPORT,2.56,56.64,1.13,6.15,Master,2020-05-24 12:12:56.189352,XBox
12,Soldier: 76,OFFENSE,2.39,53.68,1.09,9.35,Master,2020-05-24 12:12:56.189352,XBox
13,Baptiste,SUPPORT,1.79,48.58,3.39,13.69,Master,2020-05-24 12:12:56.189352,XBox
14,Widowmaker,DEFENSE,1.77,49.83,1.47,8.00,Master,2020-05-24 12:12:56.189352,XBox
15,Orisa,TANK,1.76,50.17,1.32,8.22,Master,2020-05-24 12:12:56.189352,XBox
16,Tracer,OFFENSE,1.73,52.81,1.68,7.96,Master,2020-05-24 12:12:56.189352,XBox
17,Reaper,OFFENSE,1.67,53.87,1.73,10.87,Master,2020-05-24 12:12:56.189352,XBox
18,Echo,OFFENSE,1.61,49.82,1.97,7.73,Master,2020-05-24 12:12:56.189352,XBox
19,Torbjörn,DEFENSE,1.58,58.11,2.93,5.81,Master,2020-05-24 12:12:56.189352,XBox
20,Junkrat,DEFENSE,1.45,54.73,2.99,10.05,Master,2020-05-24 12:12:56.189352,XBox
21,Hanzo,DEFENSE,1.27,47.56,2.05,10.01,Master,2020-05-24 12:12:56.189352,XBox
22,D.Va,TANK,1.25,50.00,1.62,7.25,Master,2020-05-24 12:12:56.189352,XBox
23,Genji,OFFENSE,1.15,50.13,0.50,9.57,Master,2020-05-24 12:12:56.189352,XBox
24,Doomfist,OFFENSE,1.14,54.64,1.77,6.07,Master,2020-05-24 12:12:56.189352,XBox
25,Mei,DEFENSE,0.91,49.19,1.59,5.38,Master,2020-05-24 12:12:56.189352,XBox
26,Zenyatta,SUPPORT,0.84,54.80,2.77,7.93,Master,2020-05-24 12:12:56.189352,XBox
27,Symmetra,SUPPORT,0.76,57.31,1.52,8.27,Master,2020-05-24 12:12:56.189352,XBox
28,Sombra,OFFENSE,0.76,49.22,2.29,11.80,Master,2020-05-24 12:12:56.189352,XBox
29,Winston,TANK,0.74,49.80,2.76,5.56,Master,2020-05-24 12:12:56.189352,XBox
30,Pharah,OFFENSE,0.67,56.25,2.61,14.84,Master,2020-05-24 12:12:56.189352,XBox
31,Bastion,DEFENSE,0.23,58.67,3.85,13.14,Master,2020-05-24 12:12:56.189352,XBox
0,Reinhardt,TANK,12.45,55.55,1.99,6.95,Grandmaster,2020-05-24 12:13:38.816996,XBox
1,Moira,SUPPORT,8.24,52.69,1.88,8.53,Grandmaster,2020-05-24 12:13:38.816996,XBox
2,Mercy,SUPPORT,8.10,55.77,1.66,2.57,Grandmaster,2020-05-24 12:13:38.816996,XBox
3,Ana,SUPPORT,7.10,54.69,0.73,8.57,Grandmaster,2020-05-24 12:13:38.816996,XBox
4,McCree,OFFENSE,6.12,53.99,0.51,9.32,Grandmaster,2020-05-24 12:13:38.816996,XBox
5,Ashe,OFFENSE,5.54,55.58,1.31,13.28,Grandmaster,2020-05-24 12:13:38.816996,XBox
6,Roadhog,TANK,4.81,54.13,1.08,10.75,Grandmaster,2020-05-24 12:13:38.816996,XBox
7,Sigma,TANK,4.57,55.17,1.58,15.28,Grandmaster,2020-05-24 12:13:38.816996,XBox
8,Zarya,TANK,4.37,55.18,1.89,15.36,Grandmaster,2020-05-24 12:13:38.816996,XBox
9,Lúcio,SUPPORT,4.25,60.79,1.95,11.93,Grandmaster,2020-05-24 12:13:38.816996,XBox
10,Brigitte,SUPPORT,4.11,54.85,1.51,5.16,Grandmaster,2020-05-24 12:13:38.816996,XBox
11,Wrecking Ball,TANK,3.49,49.25,0.89,4.04,Grandmaster,2020-05-24 12:13:38.816996,XBox
12,Orisa,TANK,3.19,54.82,2.59,7.42,Grandmaster,2020-05-24 12:13:38.816996,XBox
13,Tracer,OFFENSE,2.71,53.85,0.76,8.22,Grandmaster,2020-05-24 12:13:38.816996,XBox
14,Widowmaker,DEFENSE,2.18,54.07,0.95,8.12,Grandmaster,2020-05-24 12:13:38.816996,XBox
15,Torbjörn,DEFENSE,1.81,60.12,1.14,6.34,Grandmaster,2020-05-24 12:13:38.816996,XBox
16,Echo,OFFENSE,1.74,58.68,0.60,7.24,Grandmaster,2020-05-24 12:13:38.816996,XBox
17,Soldier: 76,OFFENSE,1.65,55.77,2.50,10.55,Grandmaster,2020-05-24 12:13:38.816996,XBox
18,Hanzo,DEFENSE,1.39,48.85,2.24,10.58,Grandmaster,2020-05-24 12:13:38.816996,XBox
19,Baptiste,SUPPORT,1.32,56.10,3.91,14.27,Grandmaster,2020-05-24 12:13:38.816996,XBox
20,Doomfist,OFFENSE,1.30,62.90,1.59,7.44,Grandmaster,2020-05-24 12:13:38.816996,XBox
21,Bastion,DEFENSE,1.30,49.19,1.59,11.50,Grandmaster,2020-05-24 12:13:38.816996,XBox
22,Zenyatta,SUPPORT,1.26,62.50,1.64,6.81,Grandmaster,2020-05-24 12:13:38.816996,XBox
23,Sombra,OFFENSE,0.97,50.54,1.06,12.86,Grandmaster,2020-05-24 12:13:38.816996,XBox
24,Genji,OFFENSE,0.93,53.93,1.11,9.52,Grandmaster,2020-05-24 12:13:38.816996,XBox
25,D.Va,TANK,0.86,54.22,0.00,4.07,Grandmaster,2020-05-24 12:13:38.816996,XBox
26,Junkrat,DEFENSE,0.84,56.79,0.00,11.69,Grandmaster,2020-05-24 12:13:38.816996,XBox
27,Symmetra,SUPPORT,0.76,50.00,0.00,8.47,Grandmaster,2020-05-24 12:13:38.816996,XBox
28,Pharah,OFFENSE,0.76,60.81,0.00,20.39,Grandmaster,2020-05-24 12:13:38.816996,XBox
29,Mei,DEFENSE,0.74,41.43,2.78,4.77,Grandmaster,2020-05-24 12:13:38.816996,XBox
30,Winston,TANK,0.58,51.85,3.57,4.80,Grandmaster,2020-05-24 12:13:38.816996,XBox
31,Reaper,OFFENSE,0.54,70.00,3.85,10.70,Grandmaster,2020-05-24 12:13:38.816996,XBox
